"decimalLatitude","decimalLongitude","scientificName","id","day","eventDate","month","year"
34,35.5,"Firoloida desmarestia","ce8404ad-cb84-4bc4-b462-888f1e81e2f9",NA,"1973-06/1990-12",NA,NA
26.9666690826,-84.1912689209,"Firoloida desmarestia","d29c534b-060e-4775-a362-10bd765f1d54",NA,NA,NA,NA
14.2821702957,-54.3660011292,"Firoloida desmarestia","da1427e8-b533-46e4-ad2c-f665834b80f4",NA,NA,NA,NA
30.2504348755,-86.6693878174,"Firoloida desmarestia","dc24b596-f720-473f-8ede-58d0aaa2f26e",NA,NA,NA,NA
27.6530609131,-79.8851394653,"Firoloida desmarestia","dcabecf5-c50d-46b3-bbf3-b30e246ff96f","1","2002-05-01T12:00:00Z","5","2002"
29.7485084534,-93.0898971558,"Firoloida desmarestia","df66ce09-580f-471b-90bb-2c9e9e99b5e4",NA,NA,NA,NA
34.566666667,35.583333333,"Firoloida desmarestia","e105156f-f622-4e30-b64b-c267535032c9",NA,"1972-06/1982-12",NA,NA
21.5704536438,-87.8837127686,"Firoloida desmarestia","e172a3dc-e4fc-4d10-a3df-ddbd3d2e453c",NA,NA,NA,NA
22.4037761688,-97.4438934326,"Firoloida desmarestia","e47048b2-9f7d-4fb6-aeed-79b7c03ec93b",NA,NA,NA,NA
-4.58277797699,55.6666679382,"Firoloida desmarestia","e6ec14ad-2bdc-4fe6-942c-988ae0fe25d8",NA,"1817-07-02T12:00:00Z",NA,NA
34.55,35.566666667,"Firoloida desmarestia","e7d8e1e7-9524-4520-9c06-be354f138053",NA,"2000-04/2007-06",NA,NA
-19.678333,63.420277,"Firoloida desmarestia","e8780972-2594-4dce-9be6-9e40dfbded57",NA,"1817",NA,NA
33.6048333333,28.5701666667,"Firoloida desmarestia","eadb3ca7-7e8a-4cfe-8f95-ac8978eaf5f6",NA,NA,NA,NA
27.1292877197,-96.6004257202,"Firoloida desmarestia","ee1a08aa-3db1-4a07-bdab-e0c7df285379",NA,NA,NA,NA
7.19999980927,-105.432998657,"Firoloida desmarestia","ef544041-7c60-44af-8104-4dbf49535483",NA,NA,NA,NA
24.7805652618,-82.3406906128,"Firoloida desmarestia","f6ba4450-af0a-46e0-af40-44c67ce917fb",NA,NA,NA,NA
5.16699981689,-112.467002869,"Firoloida desmarestia","f97afbb9-5d66-466d-8d83-b2ef36b72259",NA,NA,NA,NA
34.416666667,35.533333333,"Firoloida desmarestia","fe7925c3-d7b6-4ab0-9825-fa4cd943ea2e",NA,"1995-04/2002-06",NA,NA
27.4702758789,-82.6907272339,"Firoloida desmarestia","fe957196-e4d1-4d71-9fd1-0165eeb6a873",NA,NA,NA,NA
23.0251464844,-82.887260437,"Firoloida desmarestia","ff694d0f-915c-47a1-9d12-953af7800139",NA,NA,NA,NA
