"associatedReferences","basisOfRecord","bibliographicCitation","catalogNumber","collectionCode","coordinatePrecision","decimalLatitude","decimalLongitude","identifiedBy","institutionCode","locality","maximumDepthInMeters","minimumDepthInMeters","occurrenceRemarks","scientificName","scientificNameAuthorship","scientificNameID","verbatimDepth","waterBody","id","dataset_id","node_id","depth","dropped","absence","marine","brackish","superdomain","kingdom","phylum","class","subclass","order","superfamily","family","genus","species","superdomainid","kingdomid","phylumid","classid","subclassid","orderid","superfamilyid","familyid","genusid","speciesid","aphiaID","originalScientificName","flags","bathymetry","shoredistance","sst","sss","day","dynamicProperties","eventDate","individualCount","month","preparations","year","date_start","date_mid","date_end","date_year","occurrenceID","occurrenceStatus","ownerInstitutionCode","references","collectionID","coordinateUncertaintyInMeters","footprintWKT","typeStatus","continent","country","datasetID","fieldNumber","modified","specificEpithet","datasetName","lifeStage","locationID","otherCatalogNumbers","sex","recordedBy","stateProvince"
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_E3","B89PII","618090.0",18.6886692047,-93.8438949585,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","SSW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","891be1ac-5e8c-4302-bacd-8e82fb464e1d","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,114,40178,27.03,35.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"LivingSpecimen",NA,NA,"BCO-DMO",NA,14.2821702957,-54.3660011292,NA,NA,NA,1000,0,"instrument: Moc10; tow: 7; net: 4","Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,NA,"8a071fa1-78f2-47d5-a9de-10332e7148de","56e55f76-6dda-403d-805b-f8922fa1766d","310922b4-9d0c-4de1-92d7-9b442d34765b",500,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida demarestia",NA,5336,560287,27.54,34.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RHB0603_2006_5",NA,NA,NA,NA,NA,NA,NA,"RHB0603",NA
NA,"HumanObservation",NA,"105475",NA,NA,-20.383333,44.216667,NA,"CMLRE","Madagascar Island",NA,NA,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,NA,"8c7a1760-4c98-4bee-bb20-29cf3d54de1b","c46f24d7-4dc7-48e1-922a-fc34b66e9ccc","1a3b0f1a-4474-4d73-9ee1-d28f92a83996",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",76,1037,27.3,33.55,NA,NA,"1817",NA,NA,NA,NA,-4828204800000,-4.81248e+12,-4796755200000,1817,"34544","present","NIO","This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_A1","B89PII","359550.0",30.4191112518,-86.5596389771,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","NNE Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","8c995fdd-9cf8-41d0-be33-fa70b7e97dda","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH",8,1209,23.66,33.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848014.513180","Invertebrate Zoology: Mollusks",NA,0.391669988632,-119.025001526,NA,"USNM",NA,201,201,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"8cf9a16b-6cd5-48b7-ae3b-f2c371d97213","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",201,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,4084,1544835,24.68,34.87,"17","observedindividualcount=1;","1967-08-17T12:00:00Z","1.0","8","Formalin","1967",-74995200000,-74995200000,-74995200000,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11466","Zooplankton of Lebanon",NA,34.1,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"8fceb1fb-fb5d-4445-ad2d-b0f4a29bd176","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1256,12685,22.99,39.07,NA,NA,"1973-06/1990-12",NA,NA,NA,NA,107740800000,385171200000,662601600000,1982,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11466","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","K2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11463","Zooplankton of Lebanon",NA,34.1,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"952c1c52-f534-4473-8600-a7a785e6d257","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1256,12685,22.99,39.07,NA,NA,"1972-06/1982-12",NA,NA,NA,NA,76204800000,243129600000,410140800000,1977,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11463","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","G2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_E2","B89PII","612870.0",18.3952617645,-94.021156311,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","SSW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","98716cbb-9318-4bd5-8631-e2a83cb17fc5","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,76,15565,26.98,35.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_F1","B89PII","305390.0",22.279958725,-97.7937316895,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","WSW  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","99a22305-bb94-4aca-aa95-415ec539ffdc","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","DEPTH_EXCEEDS_BATH",-2,175,25.87,35.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11471","Zooplankton of Lebanon",NA,34,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"9d7041f7-45d7-4e0d-a997-2db34dbf9de3","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,786.4,9746,23.02,39.06,NA,NA,"1973-06/1990-12",NA,NA,NA,NA,107740800000,385171200000,662601600000,1982,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11471","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","T1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","709486.450473","Invertebrate Zoology: Mollusks",NA,6.08300018311,-118.849998474,NA,"USNM",NA,180,180,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"North Pacific Ocean","9f3f4c90-21a5-44d1-8b87-b27ad526ee61","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",180,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,4130,1157565,27.46,34.39,"4","observedindividualcount=2;","1967-02-04T12:00:00Z","2.0","2","Formalin","1967",-91756800000,-91756800000,-91756800000,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848004.513169","Invertebrate Zoology: Mollusks",NA,5.5,-112.025001526,NA,"USNM",NA,NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"North Pacific Ocean","a1305f5c-50a8-4276-b728-c511d84d0f3f","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","NO_DEPTH",4106,615621,27.42,34.11,NA,"observedindividualcount=6;",NA,"6.0",NA,"Formalin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_A3","B89PII","335290.0",29.9289264679,-86.8768081665,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","NNE Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","aca27598-e3e1-4965-b523-b6a404099e1a","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,148,48974,24.4,33.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"HumanObservation",NA,"105475",NA,NA,-20.383333,44.216667,NA,"CMLRE","Madagascar Island",NA,NA,NA,"Firoloida desmarestia",NA,"urn:lsid:marinespecies.org:taxname:139943",NA,NA,"aead635a-f96e-40ed-89a1-630744ed351d","767e6320-6d7f-449e-ace5-d586c3c17c9c","1a3b0f1a-4474-4d73-9ee1-d28f92a83996",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti","NO_DEPTH",76,1037,27.3,33.55,NA,NA,"1817",NA,NA,NA,NA,-4828204800000,-4.81248e+12,-4796755200000,1817,"36544","present","NIO","This dataset was transferred from National Institute of Oceanography (NIO) by Dr. Mohideen Wafar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11474","Zooplankton of Lebanon",NA,34.2,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"bce722a0-fa02-463b-98b8-f9ea40de32b6","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1353,12127,22.98,39.08,NA,NA,"1973-06/1982-12",NA,NA,NA,NA,107740800000,258940800000,410140800000,1978,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11474","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","F1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11456","Zooplankton of Lebanon",NA,33.916666667,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"bd37ca2c-9c0a-45b7-95e9-0dee4bb190a7","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,92,1090,23.02,39.06,NA,NA,"1970-07/1972-10",NA,NA,NA,NA,15638400000,52444800000,89337600000,1971,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11456","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","H1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
"National Museum of Natural History, Smithsonian Institution","PreservedSpecimen","Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010","848008.513173","Invertebrate Zoology: Mollusks",NA,-2.367000103,-118.724998474,NA,"USNM",NA,NA,NA,NA,"Firoloida desmarestia","Lesueur","urn:lsid:marinespecies.org:taxname:139943",NA,"South Pacific Ocean","c023f72d-080e-4842-bf09-ecaf6cd49a11","89e23fc8-3f61-4480-9de3-358fe6eefe0b","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,FALSE,FALSE,TRUE,FALSE,NA,"Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",NA,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia","NO_DEPTH",4184,1757198,25.17,35.11,"17","observedindividualcount=4;","1967-08-17T12:00:00Z","4.0","8","Formalin","1967",-74995200000,-74995200000,-74995200000,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11475","Zooplankton of Lebanon",NA,34.216666667,35.516666667,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"cba54694-2cf2-4440-a21d-97a9f3ec5df3","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1195.4,10915,22.98,39.08,NA,NA,"1973-06/1982-12",NA,NA,NA,NA,107740800000,258940800000,410140800000,1978,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11475","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","F2","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_D3","B89PII","313300.0",23.2547931671,-88.9384689331,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","SSE  Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","cdf40672-09d0-44fa-8510-660d94576366","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,78,116921,26.89,36.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11480","Zooplankton of Lebanon",NA,34.416666667,35.533333333,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"ce3c7b42-192e-4a18-847d-0c1b1497ab06","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,1133,17785,22.9,39.1,NA,NA,"1995-04/2002-06",NA,NA,NA,NA,796694400000,911001600000,1025395200000,1998,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11480","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","Si1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
NA,"Occurrence",NA,"Lebanon University_Zooplankton of Lebanon_11465","Zooplankton of Lebanon",NA,34,35.5,NA,"Lebanon University",NA,0,0,NA,"Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943",NA,NA,"ce8404ad-cb84-4bc4-b462-888f1e81e2f9","7166db26-05a1-4ca7-832b-19af8260f32e","4bf79a01-65a9-4db6-b37b-18434f26ddfc",0,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmaresti",NA,786.4,9746,23.02,39.06,NA,NA,"1973-06/1990-12",NA,NA,NA,NA,107740800000,385171200000,662601600000,1982,"urn:catalog:Lebanon University:Zooplankton of Lebanon:Lebanon University_Zooplankton of Lebanon_11465","present",NA,NA,NA,NA,NA,NA,"Mediterranean Sea","Lebanon","https://marineinfo.org/id/dataset/3474","K1","2013-03-29 12:21:17",NA,NA,NA,NA,NA,NA,NA,NA
"Rosenberg, G., F. Moretzsohn, and E. F. Garca. 2009. Gastropoda (Mollusca) of the Gulf of Mexico, Pp. 579-699.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.","HumanObservation","Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/","Spp-33-0574_B3","B89PII","234990.0",26.9666690826,-84.1912689209,"Rosenberg, G., F. Moretzsohn, and E. F. Garca","HRI","ENE Gulf of Mexico",100,0,"Database description and disclaimer at: http://gulfbase.org/","Firoloida desmarestia","Lesueur,","urn:lsid:marinespecies.org:taxname:139943","0-100","Gulf of Mexico","d29c534b-060e-4775-a362-10bd765f1d54","d1001fdc-d4a2-4d01-bcd2-2e122f2ca537","310922b4-9d0c-4de1-92d7-9b442d34765b",50,FALSE,FALSE,TRUE,FALSE,"Biota","Animalia","Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Pterotracheoidea","Pterotracheidae","Firoloida","Firoloida desmarestia",1,2,51,101,224570,382213,387338,225072,138008,139943,139943,"Firoloida desmarestia",NA,121,156242,25.82,35.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
